tropes,url
Military and Warfare Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/MilitaryAndWarfareTropes
Mind Control,https://tvtropes.org/pmwiki/pmwiki.php/Main/MindControl
One with the Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/OneWithTheIndex
Otherness Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/OthernessTropes
Otherworld Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/OtherworldTropes
Our Clones Are Identical,https://tvtropes.org/pmwiki/pmwiki.php/Main/OurClonesAreIdentical
Paranormal Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/ParanormalTropes
Psychic Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/PsychicIndex
Ranged Energy Attack Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/RangedEnergyAttackTropes
Robot Roll Call,https://tvtropes.org/pmwiki/pmwiki.php/Main/RobotRollCall
Romanticism Versus Enlightenment,https://tvtropes.org/pmwiki/pmwiki.php/Main/RomanticismVersusEnlightenment
Sci-Fi Horror Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SciFiHorror
Played for Horror,https://tvtropes.org/pmwiki/pmwiki.php/Main/PlayedForHorror
Sealed Index in a Can,https://tvtropes.org/pmwiki/pmwiki.php/Main/SealedIndexInACan
Shapeshifting,https://tvtropes.org/pmwiki/pmwiki.php/Main/Shapeshifting
Spacecraft,https://tvtropes.org/pmwiki/pmwiki.php/Main/Spacecraft
Steampunk Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/SteampunkIndex
Steampunk,https://tvtropes.org/pmwiki/pmwiki.php/Main/Steampunk
Superhero Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroTropes
superheroes,https://tvtropes.org/pmwiki/pmwiki.php/Main/Superhero
supervillains,https://tvtropes.org/pmwiki/pmwiki.php/Main/Supervillain
Teleportation Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/TeleportationTropes
This Index Has a Mind of Its Own,https://tvtropes.org/pmwiki/pmwiki.php/Main/ThisIndexHasAMindOfItsOwn
This Index Will Live Forever,https://tvtropes.org/pmwiki/pmwiki.php/Main/ThisIndexWillLiveForever
Time Travel Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/TimeTravelTropes
Time Travel,https://tvtropes.org/pmwiki/pmwiki.php/Main/TimeTravel
Transhuman Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/Transhuman
Tropes in Space,https://tvtropes.org/pmwiki/pmwiki.php/Main/TropesInSpace
Tropes of the Soul,https://tvtropes.org/pmwiki/pmwiki.php/Main/TropesOfTheSoul
Tropes on Science and Unscience,https://tvtropes.org/pmwiki/pmwiki.php/Main/TropesOnScienceAndUnscience
Undead Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/UndeadIndex
Urban Fantasy Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/UrbanFantasyTropes
Urban Fantasy,https://tvtropes.org/pmwiki/pmwiki.php/Main/UrbanFantasy
We Will Not Use an Index in the Future,https://tvtropes.org/pmwiki/pmwiki.php/Main/WeWillNotUseAnIndexInTheFuture
Wishing Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/WishingTropes
Absent Aliens,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentAliens
Absolute Xenophobe,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteXenophobe
Absurdly Huge Population,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHugePopulation
Absurdly Sharp Blade,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpBlade
Absurdly Sharp Claws,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpClaws
Ab Urbe Condita,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbUrbeCondita
Abusive Precursors,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbusivePrecursors
Ace Custom,https://tvtropes.org/pmwiki/pmwiki.php/Main/AceCustom
Achilles' Power Cord,https://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesPowerCord
Activation Sequence,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActivationSequence
Adam and Eve Plot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdamAndEvePlot
The Adjectival Man,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheAdjectivalMan
Advanced Ancient Acropolis,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdvancedAncientAcropolis
Advanced Ancient Humans,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdvancedAncientHumans
Aesoptinum,https://tvtropes.org/pmwiki/pmwiki.php/Main/Aesoptinum
The Ageless,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheAgeless
Agony Beam,https://tvtropes.org/pmwiki/pmwiki.php/Main/AgonyBeam
Agri World,https://tvtropes.org/pmwiki/pmwiki.php/Main/AgriWorld
Single-Biome Planet,https://tvtropes.org/pmwiki/pmwiki.php/Main/SingleBiomePlanet
A.I. Is a Crapshoot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AIIsACrapshoot
Airborne Aircraft Carrier,https://tvtropes.org/pmwiki/pmwiki.php/Main/AirborneAircraftCarrier
Akashic Records,https://tvtropes.org/pmwiki/pmwiki.php/Main/AkashicRecords
Alien Abduction,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienAbduction
Alien Arts Are Appreciated,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienArtsAreAppreciated
Alien Autopsy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienAutopsy
Alien Invasion,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienInvasion
Alien Kudzu,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienKudzu
Alien Landmass,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienLandmass
Alien Sea,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienSea
Alien Sky,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlienSky
Aliens Are Bastards,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensAreBastards
Aliens in Cardiff,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensInCardiff
Aliens Never Invented Democracy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensNeverInventedDemocracy
Aliens Never Invented the Wheel,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensNeverInventedTheWheel
Aliens of London,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensOfLondon
Aliens Speaking English,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensSpeakingEnglish
Aliens Steal Cable,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensStealCable
Aliens Steal Cattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensStealCattle
All Hail the Great God Mickey!,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllHailTheGreatGodMickey
All Myths Are True,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllMythsAreTrue
All Nations Are Superpowers,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllNationsAreSuperpowers
All Planets Are Earth-Like,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllPlanetsAreEarthLike
All Theories Are True,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllTheoriesAreTrue
Alliance of Alternates,https://tvtropes.org/pmwiki/pmwiki.php/Main/AllianceOfAlternates
Alternate History,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateHistory
Alternate-History Nazi Victory,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateHistoryNaziVictory
Alternate Landmark History,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateLandmarkHistory
Alternate Reality Episode,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateRealityEpisode
Alternate Timeline Ancestry,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateTimelineAncestry
Alternate Tooniverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateTooniverse
Alternate Universe,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternateUniverse
Alternative Calendar,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternativeCalendar
Alternative Turing Test,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlternativeTuringTest
The Alternet,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheAlternet
Always on Duty,https://tvtropes.org/pmwiki/pmwiki.php/Main/AlwaysOnDuty
Amazon Brigade,https://tvtropes.org/pmwiki/pmwiki.php/Main/AmazonBrigade
Ambiguously Human,https://tvtropes.org/pmwiki/pmwiki.php/Main/AmbiguouslyHuman
Amusing Alien,https://tvtropes.org/pmwiki/pmwiki.php/Main/AmusingAlien
Anal Probing,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnalProbing
Anatomy Arsenal,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnatomyArsenal
Anatomy of the Soul,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnatomyOfTheSoul
Ancient Astronauts,https://tvtropes.org/pmwiki/pmwiki.php/Main/AncientAstronauts
Ancient Conspiracy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AncientConspiracy
Ancient Evil,https://tvtropes.org/pmwiki/pmwiki.php/Main/AncientEvil
Ancient Tradition,https://tvtropes.org/pmwiki/pmwiki.php/Main/AncientTradition
And Man Grew Proud,https://tvtropes.org/pmwiki/pmwiki.php/Main/AndManGrewProud
Androids and Detectives,https://tvtropes.org/pmwiki/pmwiki.php/Main/AndroidsAndDetectives
Animal Is the New Man,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnimalIsTheNewMan
Animate Inanimate Object,https://tvtropes.org/pmwiki/pmwiki.php/Main/AnimateInanimateObject
Anti-Human Alliance,https://tvtropes.org/pmwiki/pmwiki.php/Main/AntiHumanAlliance
Anti-Magical Faction,https://tvtropes.org/pmwiki/pmwiki.php/Main/AntiMagicalFaction
Apocalypse How,https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypseHow
Apocalypse Maiden,https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypseMaiden
Apocalypse Wow,https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypseWow
Apocalyptic Log,https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypticLog
Apocalyptic Logistics,https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypticLogistics
Appearance Is in the Eye of the Beholder,https://tvtropes.org/pmwiki/pmwiki.php/Main/AppearanceIsInTheEyeOfTheBeholder
Arbitrary Skepticism,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArbitrarySkepticism
Arbitrary Weapon Range,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArbitraryWeaponRange
Archaeological Arms Race,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArchaeologicalArmsRace
Archaic Weapon for an Advanced Age,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArchaicWeaponForAnAdvancedAge
Arcology,https://tvtropes.org/pmwiki/pmwiki.php/Main/Arcology
Area 51,https://tvtropes.org/pmwiki/pmwiki.php/Main/Area51
The Ark,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheArk
Arm Cannon,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArmCannon
Artificial Afterlife,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialAfterlife
Artificial Animal People,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialAnimalPeople
Artificial Cannibalism,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialCannibalism
Artificial Gravity,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialGravity
Artificial Intelligence,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialIntelligence
Artificial Limbs,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialLimbs
Artificial Meat,https://tvtropes.org/pmwiki/pmwiki.php/Main/ArtificialMeat
Ascended Fanboy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AscendedFanboy
Asimov's Three Kinds of Science Fiction,https://tvtropes.org/pmwiki/pmwiki.php/Main/AsimovsThreeKindsOfScienceFiction
Sci-Fi,https://tvtropes.org/pmwiki/pmwiki.php/Main/SciFi
Asteroid Miners,https://tvtropes.org/pmwiki/pmwiki.php/Main/AsteroidMiners
Asteroid Thicket,https://tvtropes.org/pmwiki/pmwiki.php/Main/AsteroidThicket
Attack of the 50-Foot Whatever,https://tvtropes.org/pmwiki/pmwiki.php/Main/AttackOfThe50FootWhatever
Augmented Reality,https://tvtropes.org/pmwiki/pmwiki.php/Main/AugmentedReality
Aura Vision,https://tvtropes.org/pmwiki/pmwiki.php/Main/AuraVision
Automaton Horses,https://tvtropes.org/pmwiki/pmwiki.php/Main/AutomatonHorses
Avoiding the Great War,https://tvtropes.org/pmwiki/pmwiki.php/Main/AvoidingTheGreatWar
Awesome Underwater World,https://tvtropes.org/pmwiki/pmwiki.php/Main/AwesomeUnderwaterWorld
Axis Mundi,https://tvtropes.org/pmwiki/pmwiki.php/Main/AxisMundi
Baby Planet,https://tvtropes.org/pmwiki/pmwiki.php/Main/BabyPlanet
Bad Future,https://tvtropes.org/pmwiki/pmwiki.php/Main/BadFuture
Bad Moon Rising,https://tvtropes.org/pmwiki/pmwiki.php/Main/BadMoonRising
Bad Present,https://tvtropes.org/pmwiki/pmwiki.php/Main/BadPresent
Balance Between Good and Evil,https://tvtropes.org/pmwiki/pmwiki.php/Main/BalanceBetweenGoodAndEvil
Balkanize Me,https://tvtropes.org/pmwiki/pmwiki.php/Main/BalkanizeMe
Ban on A.I.,https://tvtropes.org/pmwiki/pmwiki.php/Main/BanOnAI
Ban on Magic,https://tvtropes.org/pmwiki/pmwiki.php/Main/BanOnMagic
Barrier Maiden,https://tvtropes.org/pmwiki/pmwiki.php/Main/BarrierMaiden
The Battlestar,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheBattlestar
BBC Quarry,https://tvtropes.org/pmwiki/pmwiki.php/Main/BBCQuarry
Because Destiny Says So,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecauseDestinySaysSo
Become a Real Boy,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecomeARealBoy
Becoming the Genie,https://tvtropes.org/pmwiki/pmwiki.php/Main/BecomingTheGenie
Beethoven Was an Alien Spy,https://tvtropes.org/pmwiki/pmwiki.php/Main/BeethovenWasAnAlienSpy
Being Human Sucks,https://tvtropes.org/pmwiki/pmwiki.php/Main/BeingHumanSucks
Belly Buttonless,https://tvtropes.org/pmwiki/pmwiki.php/Main/BellyButtonless
Benevolent A.I.,https://tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentAI
Benevolent Alien Invasion,https://tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentAlienInvasion
Benevolent Genie,https://tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentGenie
Benevolent Precursors,https://tvtropes.org/pmwiki/pmwiki.php/Main/BenevolentPrecursors
The Bermuda Triangle,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheBermudaTriangle
Beware of Hitchhiking Ghosts,https://tvtropes.org/pmwiki/pmwiki.php/Main/BewareOfHitchhikingGhosts
Bewitched Amphibians,https://tvtropes.org/pmwiki/pmwiki.php/Main/BewitchedAmphibians
Big Dumb Object,https://tvtropes.org/pmwiki/pmwiki.php/Main/BigDumbObject
"Big, Fat Future",https://tvtropes.org/pmwiki/pmwiki.php/Main/BigFatFuture
Binary Suns,https://tvtropes.org/pmwiki/pmwiki.php/Main/BinarySuns
Bio-Augmentation,https://tvtropes.org/pmwiki/pmwiki.php/Main/BioAugmentation
Biodata,https://tvtropes.org/pmwiki/pmwiki.php/Main/Biodata
Biological Weapons Solve Everything,https://tvtropes.org/pmwiki/pmwiki.php/Main/BiologicalWeaponsSolveEverything
Bioluminescence Is Cool,https://tvtropes.org/pmwiki/pmwiki.php/Main/BioluminescenceIsCool
Biotech Is Better,https://tvtropes.org/pmwiki/pmwiki.php/Main/BiotechIsBetter
Bizarre Alien Biology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienBiology
Bizarre Alien Locomotion,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienLocomotion
Bizarre Alien Psychology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienPsychology
Bizarre Alien Reproduction,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienReproduction
Bizarre Alien Senses,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienSenses
Bizarre Alien Sexes,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreAlienSexes
Bizarre Baby Boom,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreBabyBoom
Bizarre Human Biology,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreHumanBiology
Bizarre Seasons,https://tvtropes.org/pmwiki/pmwiki.php/Main/BizarreSeasons
Black Market Produce,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlackMarketProduce
Blade Below the Shoulder,https://tvtropes.org/pmwiki/pmwiki.php/Main/BladeBelowTheShoulder
Blind Jump,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlindJump
Blood Sport,https://tvtropes.org/pmwiki/pmwiki.php/Main/BloodSport
Blue-and-Orange Morality,https://tvtropes.org/pmwiki/pmwiki.php/Main/BlueAndOrangeMorality
Bluffing the Advance Scout,https://tvtropes.org/pmwiki/pmwiki.php/Main/BluffingTheAdvanceScout
Boarding Party,https://tvtropes.org/pmwiki/pmwiki.php/Main/BoardingParty
Boarding Pod,https://tvtropes.org/pmwiki/pmwiki.php/Main/BoardingPod
Body Backup Drive,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodyBackupDrive
Body Snatcher,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodySnatcher
Body Surf,https://tvtropes.org/pmwiki/pmwiki.php/Main/BodySurf
Bold Explorer,https://tvtropes.org/pmwiki/pmwiki.php/Main/BoldExplorer
Boldly Coming,https://tvtropes.org/pmwiki/pmwiki.php/Main/BoldlyComing
Books That Bite,https://tvtropes.org/pmwiki/pmwiki.php/Main/BooksThatBite
Born-Again Immortality,https://tvtropes.org/pmwiki/pmwiki.php/Main/BornAgainImmortality
Born as an Adult,https://tvtropes.org/pmwiki/pmwiki.php/Main/BornAsAnAdult
Brain/Computer Interface,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrainComputerInterface
Brain in a Jar,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrainInAJar
Brain Theft,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrainTheft
Brain Transplant,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrainTransplant
Brain Uploading,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrainUploading
The Brigadier,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheBrigadier
Bronson Canyon and Caves,https://tvtropes.org/pmwiki/pmwiki.php/Main/BronsonCanyonAndCaves
Brown Note,https://tvtropes.org/pmwiki/pmwiki.php/Main/BrownNote
Burial in Space,https://tvtropes.org/pmwiki/pmwiki.php/Main/BurialInSpace
By the Eyes of the Blind,https://tvtropes.org/pmwiki/pmwiki.php/Main/ByTheEyesOfTheBlind
California Doubling,https://tvtropes.org/pmwiki/pmwiki.php/Main/CaliforniaDoubling
"Call a Pegasus a ""Hippogriff""",https://tvtropes.org/pmwiki/pmwiki.php/Main/CallAPegasusAHippogriff
"Call a Rabbit a ""Smeerp""",https://tvtropes.org/pmwiki/pmwiki.php/Main/CallARabbitASmeerp
"Call a Smeerp a ""Rabbit""",https://tvtropes.org/pmwiki/pmwiki.php/Main/CallASmeerpARabbit
Cannot Cross Running Water,https://tvtropes.org/pmwiki/pmwiki.php/Main/CannotCrossRunningWater
Can Only Move the Eyes,https://tvtropes.org/pmwiki/pmwiki.php/Main/CanOnlyMoveTheEyes
Can't Argue with Elves,https://tvtropes.org/pmwiki/pmwiki.php/Main/CantArgueWithElves
Can't Live Without You,https://tvtropes.org/pmwiki/pmwiki.php/Main/CantLiveWithoutYou
Capital Letters Are Magic,https://tvtropes.org/pmwiki/pmwiki.php/Main/CapitalLettersAreMagic
Captain's Log,https://tvtropes.org/pmwiki/pmwiki.php/Main/CaptainsLog
Capture and Replicate,https://tvtropes.org/pmwiki/pmwiki.php/Main/CaptureAndReplicate
Cargo Cult,https://tvtropes.org/pmwiki/pmwiki.php/Main/CargoCult
Cassette Futurism,https://tvtropes.org/pmwiki/pmwiki.php/Main/CassetteFuturism
Casual Interplanetary Travel,https://tvtropes.org/pmwiki/pmwiki.php/Main/CasualInterplanetaryTravel
Casual Interstellar Travel,https://tvtropes.org/pmwiki/pmwiki.php/Main/CasualInterstellarTravel
Casually Powerful Giant,https://tvtropes.org/pmwiki/pmwiki.php/Main/CasuallyPowerfulGiant
Casts No Shadow,https://tvtropes.org/pmwiki/pmwiki.php/Main/CastsNoShadow
Caused the Big Bang,https://tvtropes.org/pmwiki/pmwiki.php/Main/CausedTheBigBang
Centrifugal Gravity,https://tvtropes.org/pmwiki/pmwiki.php/Main/CentrifugalGravity
Chekhov's Time Travel,https://tvtropes.org/pmwiki/pmwiki.php/Main/ChekhovsTimeTravel
Chest Burster,https://tvtropes.org/pmwiki/pmwiki.php/Main/ChestBurster
Chronoscope,https://tvtropes.org/pmwiki/pmwiki.php/Main/Chronoscope
Citadel City,https://tvtropes.org/pmwiki/pmwiki.php/Main/CitadelCity
City in a Bottle,https://tvtropes.org/pmwiki/pmwiki.php/Main/CityInABottle
City Noir,https://tvtropes.org/pmwiki/pmwiki.php/Main/CityNoir
City on the Water,https://tvtropes.org/pmwiki/pmwiki.php/Main/CityOnTheWater
City Planet,https://tvtropes.org/pmwiki/pmwiki.php/Main/CityPlanet
Civilization Destroyer,https://tvtropes.org/pmwiki/pmwiki.php/Main/CivilizationDestroyer
Clap Your Hands If You Believe,https://tvtropes.org/pmwiki/pmwiki.php/Main/ClapYourHandsIfYouBelieve
Clarke's Third Law,https://tvtropes.org/pmwiki/pmwiki.php/Main/ClarkesThirdLaw
Clash of Evolutionary Levels,https://tvtropes.org/pmwiki/pmwiki.php/Main/ClashOfEvolutionaryLevels
Clockwork Creature,https://tvtropes.org/pmwiki/pmwiki.php/Main/ClockworkCreature
Clone Army,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloneArmy
Clone by Conversion,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloneByConversion
Clone Degeneration,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloneDegeneration
Clone Jesus,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloneJesus
Cloning Blues,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloningBlues
Cloning Body Parts,https://tvtropes.org/pmwiki/pmwiki.php/Main/CloningBodyParts
Clown Species,https://tvtropes.org/pmwiki/pmwiki.php/Main/ClownSpecies
"Coca-Pepsi, Inc.",https://tvtropes.org/pmwiki/pmwiki.php/Main/CocaPepsiInc
Coconut Superpowers,https://tvtropes.org/pmwiki/pmwiki.php/Main/CoconutSuperpowers
Cold Equation,https://tvtropes.org/pmwiki/pmwiki.php/Main/ColdEquation
"Cold Sleep, Cold Future",https://tvtropes.org/pmwiki/pmwiki.php/Main/ColdSleepColdFuture
Colony Drop,https://tvtropes.org/pmwiki/pmwiki.php/Main/ColonyDrop
Colony Ship,https://tvtropes.org/pmwiki/pmwiki.php/Main/ColonyShip
Color-Coded Wizardry,https://tvtropes.org/pmwiki/pmwiki.php/Main/ColorCodedWizardry
Comet of Doom,https://tvtropes.org/pmwiki/pmwiki.php/Main/CometOfDoom
Coming in Hot,https://tvtropes.org/pmwiki/pmwiki.php/Main/ComingInHot
Complete Immortality,https://tvtropes.org/pmwiki/pmwiki.php/Main/CompleteImmortality
Compound-Interest Time Travel Gambit,https://tvtropes.org/pmwiki/pmwiki.php/Main/CompoundInterestTimeTravelGambit
The Computer Is Your Friend,https://tvtropes.org/pmwiki/pmwiki.php/Main/TheComputerIsYourFriend
Computerized Judicial System,https://tvtropes.org/pmwiki/pmwiki.php/Main/ComputerizedJudicialSystem
Computers Speak Binary,https://tvtropes.org/pmwiki/pmwiki.php/Main/ComputersSpeakBinary
Conspiracy Placement,https://tvtropes.org/pmwiki/pmwiki.php/Main/ConspiracyPlacement
Contagious A.I.,https://tvtropes.org/pmwiki/pmwiki.php/Main/ContagiousAI
Contagious Powers,https://tvtropes.org/pmwiki/pmwiki.php/Main/ContagiousPowers
Contemporary Caveman,https://tvtropes.org/pmwiki/pmwiki.php/Main/ContemporaryCaveman
Continuous Decompression,https://tvtropes.org/pmwiki/pmwiki.php/Main/ContinuousDecompression
Conveniently Close Planet,https://tvtropes.org/pmwiki/pmwiki.php/Main/ConvenientlyClosePlanet
Conveniently Coherent Thoughts,https://tvtropes.org/pmwiki/pmwiki.php/Main/ConvenientlyCoherentThoughts
